folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,cucmcn1c,Current participant consent for commercial use of data,"",choices,"",noyes,"","",true,""
Administrative,examnumber,MESA exam number,Note: The MESA Sleep ancillary study took place during MESA Exam 5.,choices,"",examnumber,"","",true,""
Administrative,gender1,Gender of the participant,"",choices,"",gender,"","",true,""
Administrative,mesaid,MESA BioLINCC ID,This subject identifier code matches what has been used previously in MESA datasets on BioLINCC.,identifier,"","","","",true,""
Administrative,nsrr_visit,NSRR visit number,"",choices,"",examnumber,"","",true,""
Administrative,nsrrid,NSRR subject identifier,The National Sleep Research Resource (NSRR) subject identifier links the subject's data and files.,identifier,"","","","",true,""
Administrative,race1c,Race/ethnicity of the participant,"Note from MESA Coordinating Center: It is recommended that Investigators make use of the terminology ""race/ethnicity"" when publishing or presenting variable race1c results (e.g. descriptive summaries, associations, ...).  It has been noted that Chinese and Hispanic are not race groups, and that race itself is an ill-defined, non-scientific concept.",choices,"",race,"","",true,""
Administrative,site5c,Site at Exam 5,"",choices,"",site,"","",true,""
Administrative,sleepage5c,Participant Age at MESA Sleep Visit,"",integer,years,"","","",true,""
Administrative,sleepqsid,Sleep questionnaire staff ID,"",string,"","","","","",mesa_sleep_questionnaire
Anthropometry,bmi5c,Body mass index,"",numeric,kilograms per meters squared (kg/m2),"","","","",""
Anthropometry,htcm5,Height (cm),"",numeric,centimeters (cm),"","","","",""
Anthropometry,wtlb5,Weight (lbs),"",numeric,pounds (lb),"","","","",""
Harmonized/Anthropometry,nsrr_bmi,Body mass index (BMI),"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :bmi5c:",numeric,kilograms per meters squared (kg/m2),"",bmi,"",true,""
Harmonized/Lifestyle and Behavioral Health,nsrr_current_smoker,Currently smoking cigarettes,"Indicates whether subject currently smokes cigarettes. <br><br>Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :cursmk5:",choices,"",nsrr_current_smoker,current_smoker;smoking,"",true,""
Harmonized/Lifestyle and Behavioral Health,nsrr_ever_smoker,Ever smoked cigarettes,"Indicates whether subject ever regularly smoked cigarettes. <br><br>Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :smkstat5:",choices,"",nsrr_ever_smoker,ever_smoker;smoking,"",true,""
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_ahi_hp3r_aasm15,Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep ,"Harmonized by the NSRR team. <br><br> The definition for hypopneas is consistent with the following clinical guidelines: (1) American Academy of Sleep Medicine (AASM) 2007 Manual (2012 update) (recommended). [Berry RB et al. 2012 (PubMed ID:23066376)] (https://www.ncbi.nlm.nih.gov/pubmed/23066376), and (2) American Academy of Sleep Medicine (AASM) 2015 (recommended) [Berry RB et al. The AASM Manual for the Scoring of Sleep and Associated Events: Rules, Terminology and Technical Specifications, Version 2.2. American Academy of Sleep Medicine, Darien, IL, 2015.]<br><br> Refer to the source for detailed definition for respiratory events: :ahi_a0h3a:",numeric,number of events per hour,"",ahi_ap0uhp3x3r_f1t2,"",true,""
