folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,nsrrid,NSRR MrOS Participant Identifier,Obfuscated participant identifier provided for the NSRR by the MrOS Coordinating Center.,identifier,"","",obf_pptid;pptid;identifier,"",true,""
Administrative,visit,Visit,"",choices,"",visit,"","",true,""
Anthropometry,bparm,Blood pressure: Arm used,"",choices,"",lrb1x,"","","",mros1_anthropometry_form;mros2_anthropometry_form
Anthropometry,bpbp,Sitting blood pressure measurement 1,"",choices,"",yndk,"","","",mros2_anthropometry_form
Anthropometry,bpbp2,Sitting blood pressure measurement 2,"",choices,"",yndk,"","","",mros2_anthropometry_form
Anthropometry,bpbpdia,Sitting measurement 1: Diastolic,"",numeric,millimeters of mercury,"","","","",mros1_anthropometry_form;mros2_anthropometry_form
Anthropometry,bpbpdia2,Sitting measurement 2: Diastolic,"",numeric,millimeters of mercury,"","","","",mros1_anthropometry_form;mros2_anthropometry_form
Anthropometry,bpbpdiam,Average diastolic blood pressure,"",numeric,millimeters of mercury,"","","",true,mros1_anthropometry_form
Anthropometry,bpbpsys,Sitting measurement 1: Systolic,"",numeric,millimeters of mercury,"","","","",mros1_anthropometry_form;mros2_anthropometry_form
Anthropometry,bpbpsys2,Sitting measurement 2: Systolic,"",numeric,millimeters of mercury,"","","","",mros1_anthropometry_form;mros2_anthropometry_form
Anthropometry,bpbpsysm,Average systolic blood pressure,"",numeric,millimeters of mercury,"","","",true,mros1_anthropometry_form
Anthropometry,bpcuff,Cuff size,"",choices,"",size8x,"","","",mros1_anthropometry_form
Anthropometry,bptrcf,Cuff size for BpTru,"",choices,"",size8x,"","","",mros2_anthropometry_form
Anthropometry,hw1s2bmi,"Body mass index, V1 to VS2","",numeric,kilograms per meter squared,"","","","",mros2_anthropometry_form
Anthropometry,hw1s2ht,"Change in average height, V1 to VS2","",numeric,centimeters,"","","","",""
Anthropometry,hw1s2wpc,"Percent change in average weight, V1 to VS2","",numeric,percent,"","","","",mros2_anthropometry_form
