folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,apnea_treatment_year,Year of apnea treatment,"",integer,year,"","","","",""
Administrative,vst_year,Year of polysomnography data collection,"",numeric,year,"","","",true,""
Administrative,wsc_id,Unique identifier,Randomly generated,identifier,"","","","",true,""
Administrative,wsc_vst,Study visit number,Sequential visit,choices,"",studyvisit,"","",true,""
Anthropometry,bmi,Body mass index (BMI),"",numeric,kg/m squared,"","","",true,""
Anthropometry,headcm,Head circumference,"Position the tape slightly above the eyebrows in a horizontal plane to the back of the head, measuring the maximum circumference. Make sure not to include large amounts of hair and hair accessories under the tape. Pull tape slightly to compress hair and record measurement to the nearest 0.5 cm",numeric,cm,"","","","",""
Anthropometry,heightcm,Height,Height (without shoes) to the nearest cm. on mechanical beam scale with participant facing outward and measuring bar perpendicular to floor,numeric,cm,"","","","",""
Anthropometry,hip_girth1,First measurement of hip girth,Measure at largest circumference over the buttocks with participant standing erect with arms at side,numeric,cm,"","","","",""
Anthropometry,hip_girth2,Second measurement of hip girth,Measure at largest circumference over the buttocks with participant standing erect with arms at side,numeric,cm,"","","","",""
Anthropometry,hipgirthm,Mean of hip girth measures,"",numeric,cm,"","","","",""
Anthropometry,neck_girth1,First measurement of neck girth,"With participant sitting or standing erect, measure below 'Adam's Apple' at the smallest circumference of neck with tape perpendicular to the long axis of the neck",numeric,cm,"","","","",""
Anthropometry,neck_girth2,Second measurement of neck girth,"With participant sitting or standing erect, measure below 'Adam's Apple' at the smallest circumference of neck with tape perpendicular to the long axis of the neck",numeric,cm,"","","","",""
Anthropometry,neckgirthm,Mean of neck girth measures,"",numeric,cm,"","","","",""
Anthropometry,waist_girth1,First measurement of waist girth,"With participant standing erect with arms at side and abdomen relaxed, measure at the smallest circumference near the navel and above the pelvis at the natural waistline. If no obvious waist, measure at the navel",numeric,mm Hg,"","","","",""
Anthropometry,waist_girth2,Second measurement of waist girth,"With participant standing erect with arms at side and abdomen relaxed, measure at the smallest circumference near the navel and above the pelvis at the natural waistline. If no obvious waist, measure at the navel",numeric,cm,"","","","",""
Anthropometry,waistgirthm,Mean of waist girth measurements,"",numeric,cm,"","","","",""
Anthropometry,waisthip,Waist to hip ratio,"",numeric,ratio,"","","","",""
Anthropometry,weightkg,Weight,Record weight to the nearest 0.5 kg on mechanical beam scale.  ,numeric,kg,"","","",true,""
Clinical Data/Laboratory Tests,creatinine,Creatinine,"Measure of creatinine level in blood, obtained from fasting blood draw on the morning after the overnight PSG",numeric,mg/dL,"","","","",""
Clinical Data/Laboratory Tests,glucose,Glucose,"Measure of glucose level in blood, obtained from fasting blood draw on the morning after the overnight PSG",numeric,mg/dL,"","","","",""
Clinical Data/Laboratory Tests,hdl,HDL Cholesterol ,"Measure of HDL level in blood, obtained from fasting blood draw on the morning after the overnight PSG",numeric,mg/dL,"","","","",""
Clinical Data/Laboratory Tests,ldl,LDL Cholesterol ,"Measure of LDL level in blood, obtained from fasting blood draw on the morning after the overnight PSG",numeric,mg/dL,"","","","",""
Clinical Data/Laboratory Tests,total_cholesterol,Total cholesterol,"Measure of total cholesterol level in blood, obtained from fasting blood draw on the morning after the overnight PSG",numeric,mg/dL,"","","","",""
Clinical Data/Laboratory Tests,triglycerides,Triglycerides,"Measure of triglyceride level in blood, obtained from fasting blood draw on the morning after the overnight PSG",numeric,mg/dL,"","","","",""
Clinical Data/Laboratory Tests,uric_acid,Uric acid,"Measure of uric acid level in blood, obtained from fasting blood draw on the morning after the overnight PSG",numeric,mg/dL,"","","","",""
Clinical Data/Vital Signs,ankle_left1,First blood pressure from left ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,ankle_left2,Second blood pressure from left ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,ankle_left_repeat,"First repeat of blood pressure from left ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,ankle_left_repeat2,"Second repeat of blood pressure from left ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,ankle_right1,First blood pressure from right ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,ankle_right2,Second blood pressure from right ankle,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,ankle_right_repeat,"First repeat of blood pressure from right ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,ankle_right_repeat2,"Second repeat of blood pressure from right ankle, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,arm_left1,First blood pressure from left arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,arm_left2,Second blood pressure from left arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,arm_left_repeat,"First repeat of blood pressure from left arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,arm_left_repeat2,"Second repeat of blood pressure from left arm, if needed",Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
Clinical Data/Vital Signs,arm_right1,First blood pressure from right arm,Brachial blood pressure by Dopler at the overnight PSG,numeric,mm Hg,"","","","",""
