Target,Model,F1,AUROC,PR-AUC
Apnea,XGBoost,0.7843,0.8835,0.7646
Apnea,MLP_PyTorch,0.7636,0.8998,0.7554
Apnea,LogisticReg,0.76,0.8887,0.753
Apnea,RandomForest,0.7547,0.8798,0.7732
Apnea,LinearSVM,0.7083,0.9182,0.7551
Apnea,MLP_sklearn,0.1639,0.6425,0.2491
Insomnia,MLP_PyTorch,0.3881,0.7597,0.1944
Insomnia,LogisticReg,0.2946,0.7914,0.2025
Insomnia,LinearSVM,0.2676,0.7737,0.1446
Insomnia,MLP_sklearn,0.2039,0.7736,0.2376
Insomnia,XGBoost,0.2,0.7737,0.2114
Insomnia,RandomForest,0.1928,0.7161,0.1608
RLS,MLP_PyTorch,0.1553,0.6308,0.0934
RLS,RandomForest,0.1152,0.6858,0.0986
RLS,XGBoost,0.1091,0.6984,0.0929
RLS,LogisticReg,0.0971,0.5511,0.0601
RLS,LinearSVM,0.0782,0.4866,0.0528
RLS,MLP_sklearn,0.0,0.5846,0.0636
