Target,Model,F1,AUROC,PR-AUC
Apnea,RandomForest,0.1825,0.6233,0.1032
Apnea,XGBoost,0.161,0.6249,0.1263
Apnea,MLP_PyTorch,0.1538,0.5054,0.0799
Apnea,LogisticReg,0.1456,0.5093,0.0759
Apnea,LinearSVM,0.1425,0.4501,0.0706
Apnea,MLP_sklearn,0.14,0.522,0.079
Insomnia,MLP_PyTorch,0.1304,0.4941,0.0756
Insomnia,XGBoost,0.127,0.5504,0.083
Insomnia,LinearSVM,0.1257,0.5652,0.1162
Insomnia,MLP_sklearn,0.1254,0.5245,0.0788
Insomnia,RandomForest,0.1199,0.4957,0.0643
Insomnia,LogisticReg,0.1187,0.5336,0.0703
RLS,XGBoost,0.1818,0.6595,0.0973
RLS,MLP_PyTorch,0.1154,0.5244,0.0536
RLS,RandomForest,0.1053,0.6513,0.0716
RLS,LogisticReg,0.0952,0.5079,0.0553
RLS,MLP_sklearn,0.0769,0.516,0.049
RLS,LinearSVM,0.0,0.5271,0.0479
